,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Weekend_special
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,FALSE,FALSE,FALSE
1,0,0,0,0,0,0,1,0,0,0,1,2,2,1,2,1,FALSE,FALSE,FALSE
2,0,0,0,0,0,0,0,0,0,0,1,4,1,9,3,1,FALSE,FALSE,FALSE
3,0,0,0,0,0,0,0,0,0,0,1,3,2,2,4,1,FALSE,FALSE,FALSE
4,0,0,0,0,1,2,0,0,0,0,1,3,3,1,4,1,TRUE,FALSE,FALSE
5,0,0,0,0,1,0,1,1,0,0,1,2,2,1,3,1,FALSE,FALSE,FALSE
6,0,0,0,0,0,0,0,0,0,0.4,1,2,4,3,3,1,FALSE,FALSE,FALSE
7,0,0,0,0,0,0,0,0,0,0,1,1,2,1,5,1,TRUE,FALSE,FALSE
8,0,0,0,0,0,0,1,0,0,0.8,1,2,2,2,3,1,FALSE,FALSE,FALSE
9,0,0,0,0,0,2,1,1,0,0.4,1,2,4,1,2,1,FALSE,FALSE,FALSE
10,0,0,0,0,0,1,1,0,0,0,1,1,1,3,3,1,FALSE,FALSE,FALSE
11,0,0,0,0,1,1,0,0,0,0.4,1,1,1,4,3,1,FALSE,FALSE,FALSE
12,0,0,0,0,0,1,1,0,0,0,1,1,1,1,3,1,FALSE,FALSE,FALSE
13,0,0,0,0,0,0,1,0,0,0,1,2,5,1,3,1,FALSE,FALSE,FALSE
14,0,0,0,0,0,0,1,0,0,0,1,3,2,3,3,1,FALSE,FALSE,FALSE
15,0,1,0,0,1,3,1,1,0,0,1,1,1,9,3,1,FALSE,FALSE,FALSE
16,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,1,FALSE,FALSE,FALSE
17,0,0,0,0,1,1,1,1,0,0,1,1,1,1,4,1,TRUE,FALSE,FALSE
18,0,0,0,0,0,0,1,0,0,0,1,2,2,1,3,1,FALSE,FALSE,FALSE
19,0,0,0,0,1,3,1,1,0,0,1,2,4,4,4,1,FALSE,FALSE,FALSE
20,0,0,0,0,1,0,1,1,0,1,1,2,2,5,1,1,TRUE,FALSE,TRUE
21,0,0,0,0,0,0,0,0,0,0,1,3,3,1,3,1,FALSE,FALSE,FALSE
22,0,0,0,0,0,0,1,0,0,0,1,3,2,1,5,1,FALSE,FALSE,FALSE
23,0,0,0,0,0,0,1,0,0,0.8,1,2,4,1,3,1,FALSE,FALSE,FALSE
24,0,0,0,0,0,0,0,0,0,0,1,2,2,4,1,1,TRUE,FALSE,FALSE
25,0,0,0,0,0,0,1,0,0,0,1,1,1,9,3,1,FALSE,FALSE,FALSE
26,1,1,0,0,1,2,1,1,0,0,1,2,2,1,3,1,FALSE,FALSE,FALSE
27,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,FALSE,FALSE,FALSE
28,0,0,0,0,0,0,1,0,0,0.2,1,2,6,1,3,1,FALSE,FALSE,FALSE
29,0,0,1,0,2,3,0,0,54.17976426,0.4,1,3,2,1,1,1,FALSE,FALSE,FALSE
30,0,0,0,0,0,0,1,0,0,0,1,1,1,6,3,1,FALSE,FALSE,FALSE
31,0,0,0,0,0,0,1,0,0,0,1,1,2,6,6,1,TRUE,FALSE,FALSE
32,0,0,0,0,1,1,1,1,0,0,1,2,2,1,1,1,FALSE,FALSE,FALSE
33,0,0,0,0,1,0,0,0,0,0,1,1,1,3,1,1,FALSE,FALSE,FALSE
34,0,0,0,0,1,1,1,0,0,0,1,2,2,1,1,1,FALSE,FALSE,FALSE
35,0,0,0,0,2,3,1,1,0,0,1,2,2,7,1,1,FALSE,FALSE,FALSE
36,0,0,0,0,1,1,0,0,0,0,1,3,2,1,4,1,TRUE,FALSE,FALSE
37,0,1,0,0,0,1,1,0,0,0.8,1,2,2,8,4,1,FALSE,FALSE,FALSE
38,0,0,0,0,0,0,0,0,0,0.6,1,2,2,1,3,1,FALSE,FALSE,FALSE
39,0,0,0,0,1,1,1,1,0,0,1,2,5,1,6,1,FALSE,FALSE,FALSE
40,0,1,0,0,2,3,1,1,0,0,1,2,2,8,4,1,FALSE,FALSE,FALSE
41,0,0,0,0,0,0,1,0,0,0.6,1,1,1,3,2,1,FALSE,FALSE,FALSE
42,0,0,0,0,1,1,1,1,0,0,1,1,1,4,4,1,FALSE,FALSE,FALSE
43,0,0,0,0,0,0,1,0,0,0.4,1,3,2,2,3,1,FALSE,FALSE,FALSE
44,0,0,0,0,0,0,1,0,0,0,1,4,1,1,3,1,FALSE,FALSE,FALSE
45,0,0,0,0,1,2,1,1,0,0.2,1,2,5,1,4,1,FALSE,FALSE,FALSE
46,0,0,0,0,1,1,0,0,0,0,1,1,1,1,2,1,FALSE,FALSE,FALSE
47,0,0,0,0,0,0,0,0,0,0.2,1,3,2,1,3,1,FALSE,FALSE,FALSE
48,0,0,0,0,1,2,1,1,0,0,1,3,2,1,3,1,FALSE,FALSE,FALSE
49,0,0,0,0,0,0,0,0,0,0.6,1,2,2,3,2,1,FALSE,FALSE,FALSE
50,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,1,TRUE,FALSE,FALSE
51,0,0,0,0,1,1,1,0,0,0.2,1,3,2,1,3,1,FALSE,FALSE,FALSE
52,0,0,0,0,0,0,1,0,0,1,1,2,4,4,2,1,TRUE,FALSE,TRUE
53,0,0,0,0,0,0,1,0,0,0,1,4,2,2,3,1,FALSE,FALSE,FALSE
54,0,0,0,0,0,0,0,1,0,0.4,1,3,3,1,4,1,FALSE,FALSE,FALSE
55,0,0,0,0,0,0,0,0,0,0.2,1,2,4,1,3,1,FALSE,FALSE,FALSE
56,0,0,0,0,0,0,0,0,0,0.6,1,3,2,3,3,1,FALSE,FALSE,FALSE
57,1,1,1,1,1,2,1,1,19.44707913,0.2,1,2,2,4,1,1,FALSE,FALSE,FALSE
58,0,0,0,0,0,0,1,0,0,0.4,1,2,6,6,3,1,FALSE,FALSE,FALSE
59,0,1,0,0,1,1,1,0,0,0.6,1,2,4,2,1,1,FALSE,FALSE,FALSE
60,0,0,0,0,0,0,1,1,0,0.4,1,1,1,3,3,1,FALSE,FALSE,FALSE
61,0,0,0,0,1,1,0,0,0,0,1,1,1,1,3,1,FALSE,FALSE,FALSE
62,1,2,0,0,2,3,1,1,38.30849268,0,1,1,1,3,2,1,FALSE,FALSE,FALSE
63,0,0,0,0,1,2,1,1,0,0,1,2,2,5,4,1,TRUE,FALSE,FALSE
64,0,0,0,0,0,0,0,0,0,0,1,2,2,4,3,1,FALSE,FALSE,FALSE
65,1,1,0,0,1,2,1,1,22.9160357,0.8,1,2,2,3,1,1,FALSE,TRUE,FALSE
66,1,1,0,0,2,3,1,1,0,0,1,4,1,1,3,1,FALSE,FALSE,FALSE
67,0,0,0,0,0,0,0,0,0,0.6,1,2,2,5,1,1,FALSE,FALSE,FALSE
68,0,0,0,0,1,2,1,1,0,0,1,2,7,2,4,1,FALSE,FALSE,FALSE
69,0,0,0,0,0,0,0,0,0,0.2,1,3,2,3,3,1,FALSE,FALSE,FALSE
70,0,0,0,0,0,0,0,0,0,0,1,2,6,1,2,1,FALSE,FALSE,FALSE
71,0,0,0,0,1,1,0,0,0,0,1,2,6,6,1,1,FALSE,FALSE,FALSE
72,0,0,0,0,0,0,1,0,0,0.4,1,2,2,3,3,1,FALSE,FALSE,FALSE
73,0,0,0,0,1,1,1,1,0,0,1,2,4,3,2,1,FALSE,FALSE,FALSE
74,0,0,0,0,0,0,1,0,0,0,1,2,4,3,3,1,FALSE,FALSE,FALSE
75,0,0,0,0,1,1,1,1,0,0,1,2,4,1,1,1,FALSE,FALSE,FALSE
76,1,2,0,0,1,3,1,1,11.43941195,0,1,2,6,1,2,1,FALSE,TRUE,FALSE
77,0,0,0,0,0,0,1,0,0,0.6,1,3,2,3,3,1,FALSE,FALSE,FALSE
78,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,TRUE,FALSE,TRUE
79,0,0,0,0,0,0,0,0,0,0.4,1,1,1,1,3,1,FALSE,FALSE,FALSE
80,0,0,0,0,0,1,1,0,0,0,1,4,1,1,5,1,TRUE,FALSE,FALSE
81,0,0,0,0,0,1,1,1,0,0.8,1,1,1,1,3,1,FALSE,FALSE,FALSE
82,0,0,0,0,0,0,1,1,0,0,1,2,2,1,3,1,FALSE,FALSE,FALSE
83,0,0,0,0,1,1,0,0,0,0,1,3,2,4,1,1,FALSE,FALSE,FALSE
84,0,0,0,0,0,0,0,0,0,0.8,1,2,2,2,1,1,TRUE,FALSE,TRUE
85,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,FALSE,FALSE,FALSE
86,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,FALSE,FALSE,FALSE
87,0,0,0,0,0,0,1,0,0,0,1,1,1,1,3,1,FALSE,FALSE,FALSE
88,0,0,0,0,0,1,0,1,0,0.4,1,4,1,3,3,1,FALSE,FALSE,FALSE
89,0,0,0,0,1,2,1,1,0,0,1,1,1,4,2,1,FALSE,FALSE,FALSE
90,0,1,0,0,1,0,1,1,0,0.4,1,1,1,1,3,1,FALSE,FALSE,FALSE
91,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,TRUE,FALSE,FALSE
92,0,0,0,0,0,0,1,0,0,0,1,1,1,1,3,1,FALSE,FALSE,FALSE
93,0,0,0,0,1,2,1,1,0,0,1,2,2,1,5,2,FALSE,FALSE,FALSE
94,0,0,0,0,1,2,1,0,0,0.6,1,4,1,3,3,1,FALSE,FALSE,FALSE
95,0,0,0,0,0,0,1,0,0,0.2,1,1,1,1,3,1,FALSE,FALSE,FALSE
96,0,0,0,0,0,3,0,0,0,0.2,1,1,1,1,3,1,FALSE,FALSE,FALSE
97,0,0,0,0,0,0,1,1,0,0.6,1,1,1,1,4,1,FALSE,FALSE,FALSE
98,0,0,1,0,0,0,0,0,0,0.6,1,2,4,1,7,1,FALSE,FALSE,FALSE
99,0,0,0,0,1,2,1,0,0,0,1,3,2,3,4,1,FALSE,FALSE,FALSE
100,1,1,0,0,2,3,1,1,0,0.4,1,2,4,1,2,1,FALSE,FALSE,FALSE
101,1,1,0,0,1,2,1,0,17.53595893,1,1,1,1,7,4,1,TRUE,TRUE,TRUE
102,0,0,0,0,0,1,1,0,0,0.4,1,1,1,3,2,1,FALSE,FALSE,FALSE
103,0,1,1,1,1,3,1,1,0,0.8,1,2,2,4,3,1,FALSE,FALSE,FALSE
104,1,1,0,0,1,1,1,1,0,0,1,1,1,3,4,1,FALSE,FALSE,FALSE
105,0,0,0,0,0,0,0,0,0,0,1,1,1,7,2,1,FALSE,FALSE,FALSE
106,0,0,1,0,1,1,0,0,0,0.8,1,4,1,1,3,1,FALSE,FALSE,FALSE
107,0,0,0,0,1,0,0,0,0,0,1,1,1,1,3,1,FALSE,FALSE,FALSE
108,0,0,0,0,0,0,0,0,0,0.8,1,3,3,1,3,1,FALSE,FALSE,FALSE
109,1,2,1,1,2,3,1,1,0,0,1,2,5,1,3,1,FALSE,FALSE,FALSE
110,0,0,0,0,0,1,1,1,0,0.6,1,2,2,3,3,1,FALSE,FALSE,FALSE
111,0,0,0,0,0,0,0,0,0,0.4,1,2,2,1,3,1,FALSE,FALSE,FALSE
112,0,0,0,0,0,0,0,0,0,0.8,1,1,1,2,3,1,FALSE,FALSE,FALSE
113,0,1,0,0,1,1,1,1,0,0.2,1,2,4,1,1,1,FALSE,FALSE,FALSE
114,0,0,1,1,1,2,1,0,0,0.2,1,1,1,1,3,1,FALSE,FALSE,FALSE
115,0,0,0,0,1,1,1,1,0,0,1,1,1,1,4,1,TRUE,FALSE,FALSE
116,0,0,0,0,1,2,1,1,0,0.8,1,3,2,1,3,1,FALSE,FALSE,FALSE
117,0,0,0,0,1,1,0,0,0,0.2,1,2,2,3,1,1,FALSE,FALSE,FALSE
118,0,0,0,0,1,0,1,0,0,0,1,4,1,3,3,1,FALSE,FALSE,FALSE
119,0,0,0,0,0,1,1,0,0,0,1,2,4,9,3,1,FALSE,FALSE,FALSE
120,0,0,0,0,0,1,1,0,0,0,1,2,4,4,1,1,FALSE,FALSE,FALSE
121,0,0,0,0,0,0,1,0,0,0.6,1,2,2,1,2,1,FALSE,FALSE,FALSE
122,0,0,1,1,1,1,1,0,0,0.8,1,1,1,3,3,1,FALSE,FALSE,FALSE
123,0,0,0,0,0,0,1,0,0,0,1,1,1,3,3,1,FALSE,FALSE,FALSE
124,0,0,0,0,1,1,0,0,0,0,1,2,4,3,1,1,FALSE,FALSE,FALSE
